error_id,error_date,customer_id,customer_segment,country,application_module,error_type,severity,app_version,device_type,operating_system,resolution_time_minutes,resolved,customer_churned_30d
ERR-00001,2024-11-23 11:07:01,CUST-0023,Enterprise,Polska,Integracje,Błąd API,Medium,3.7.7,Desktop,macOS,,False,True
ERR-00002,2024-05-20 21:15:14,CUST-0076,Mid-market,Polska,Eksport danych,Nieprawidłowe dane,Medium,3.2.5,Desktop,macOS,38.0,True,False
ERR-00003,2024-03-12 15:47:06,CUST-0213,Startup,Wielka Brytania,Płatności,Błąd bazy danych,Critical,3.9.0,Mobile,Android,215.0,True,False
ERR-00004,2024-12-12 14:47:57,CUST-0121,SMB,Polska,Integracje,Błąd autoryzacji,Medium,3.7.1,Mobile,iOS,32.0,True,False
ERR-00005,2024-10-06 08:05:37,CUST-0142,SMB,Polska,Raporty,Błąd autoryzacji,High,3.2.3,Desktop,Windows,157.0,True,False
ERR-00006,2024-08-04 08:02:01,CUST-0125,SMB,Hiszpania,Eksport danych,Timeout,Medium,3.9.7,Desktop,Windows,59.0,True,False
ERR-00007,2024-02-17 03:13:14,CUST-0116,SMB,Niemcy,Użytkownicy,Timeout,Critical,3.5.7,Desktop,macOS,572.0,True,False
ERR-00008,2024-09-15 17:38:01,CUST-0117,SMB,Hiszpania,Logowanie,Błąd API,High,3.1.0,Desktop,Windows,49.0,True,False
ERR-00009,2024-10-14 14:12:45,CUST-0004,Enterprise,Polska,Integracje,Błąd bazy danych,Medium,3.7.4,Desktop,macOS,41.0,True,False
ERR-00010,2024-11-28 15:44:34,CUST-0067,Mid-market,Niemcy,Logowanie,Błąd autoryzacji,Medium,3.3.7,Desktop,Windows,85.0,True,False
ERR-00011,2024-08-02 01:14:28,CUST-0022,Enterprise,Polska,Raporty,Błąd autoryzacji,Low,3.8.6,Desktop,macOS,26.0,True,False
ERR-00012,2024-10-28 22:17:51,CUST-0220,Startup,Polska,Płatności,Timeout,Critical,3.8.7,Mobile,Android,703.0,True,False
ERR-00013,2024-01-04 17:48:51,CUST-0199,Startup,Wielka Brytania,Płatności,Błąd bazy danych,High,3.9.8,Desktop,Windows,232.0,True,False
ERR-00014,2024-03-22 08:44:27,CUST-0029,Enterprise,Polska,Raporty,Timeout,High,3.5.5,Desktop,Windows,180.0,True,False
ERR-00015,2024-06-23 08:17:09,CUST-0131,SMB,Niemcy,Integracje,Błąd bazy danych,Medium,3.4.9,Desktop,macOS,44.0,True,False
ERR-00016,2024-04-20 08:48:21,CUST-0195,Startup,Niemcy,Płatności,Timeout,High,3.8.4,Mobile,iOS,148.0,True,False
ERR-00017,2024-02-22 10:05:24,CUST-0025,Enterprise,Polska,Integracje,Nieprawidłowe dane,Low,3.1.9,Desktop,Windows,5.0,True,False
ERR-00018,2024-02-19 13:22:54,CUST-0040,Mid-market,Wielka Brytania,Raporty,Nieprawidłowe dane,Medium,3.6.2,Desktop,Windows,16.0,True,False
ERR-00019,2024-06-25 11:38:16,CUST-0188,Startup,Polska,Logowanie,Timeout,High,3.6.1,Desktop,Windows,90.0,True,False
ERR-00020,2024-01-23 09:46:29,CUST-0002,Enterprise,Francja,Eksport danych,Timeout,Critical,3.1.3,Mobile,iOS,58.0,True,True
ERR-00021,2024-10-01 14:07:59,CUST-0117,SMB,Wielka Brytania,Płatności,Błąd API,Medium,3.4.7,Desktop,Windows,38.0,True,False
ERR-00022,2024-07-12 07:05:35,CUST-0023,Enterprise,Niemcy,Raporty,Timeout,High,3.8.9,Mobile,iOS,34.0,True,False
ERR-00023,2024-05-30 09:53:40,CUST-0161,Startup,Wielka Brytania,Integracje,Błąd bazy danych,Critical,3.8.9,Tablet,iOS,111.0,True,False
ERR-00024,2024-11-12 10:56:55,CUST-0195,Startup,Polska,Płatności,Nieprawidłowe dane,High,3.1.4,Mobile,Android,383.0,True,False
ERR-00025,2024-07-04 12:36:12,CUST-0207,Startup,Niemcy,Logowanie,Błąd bazy danych,Critical,3.1.3,Desktop,Windows,106.0,True,True
ERR-00026,2024-12-26 16:04:02,CUST-0072,Mid-market,Polska,Raporty,Nieprawidłowe dane,Medium,3.3.9,Desktop,Windows,80.0,True,False
ERR-00027,2024-12-04 08:14:49,CUST-0183,Startup,Francja,Użytkownicy,Timeout,High,3.9.0,Desktop,macOS,75.0,True,False
ERR-00028,2024-05-28 12:05:54,CUST-0142,SMB,Wielka Brytania,Integracje,Błąd autoryzacji,Low,3.1.9,Tablet,Android,83.0,True,False
ERR-00029,2024-04-29 13:55:06,CUST-0007,Enterprise,Polska,Integracje,Błąd bazy danych,Critical,3.8.2,Desktop,Windows,,False,True
ERR-00030,2024-07-13 02:17:29,CUST-0106,SMB,Francja,Integracje,Timeout,Medium,3.1.5,Desktop,macOS,154.0,True,False
ERR-00031,2024-11-21 14:53:23,CUST-0027,Enterprise,Polska,Logowanie,Błąd bazy danych,High,3.7.3,Mobile,Android,86.0,True,False
ERR-00032,2024-03-24 08:23:22,CUST-0065,Mid-market,Niemcy,Raporty,Timeout,High,3.4.4,Desktop,Windows,143.0,True,False
ERR-00033,2024-04-17 03:42:17,CUST-0009,Enterprise,Niemcy,Eksport danych,Błąd autoryzacji,Medium,3.8.6,Desktop,Windows,10.0,True,True
ERR-00034,2024-12-25 21:59:43,CUST-0030,Enterprise,Wielka Brytania,Logowanie,Błąd interfejsu,Medium,3.3.5,Desktop,Windows,136.0,True,False
ERR-00035,2024-11-27 22:04:38,CUST-0018,Enterprise,Francja,Płatności,Błąd autoryzacji,Low,3.7.5,Desktop,macOS,37.0,True,False
ERR-00036,2024-11-21 16:10:34,CUST-0115,SMB,Polska,Płatności,Błąd interfejsu,Medium,3.3.5,Mobile,Android,155.0,True,False
ERR-00037,2024-05-05 10:10:29,CUST-0005,Enterprise,Polska,Raporty,Błąd interfejsu,Medium,3.8.2,Desktop,Windows,42.0,True,False
ERR-00038,2024-07-13 05:17:59,CUST-0094,SMB,Polska,Użytkownicy,Nieprawidłowe dane,Critical,3.9.0,Desktop,macOS,191.0,True,False
ERR-00039,2024-11-23 15:44:35,CUST-0020,Enterprise,Polska,Logowanie,Błąd bazy danych,Critical,3.1.9,Desktop,Windows,314.0,True,False
ERR-00040,2024-04-22 11:43:20,CUST-0024,Enterprise,Polska,Raporty,Błąd API,Critical,3.8.9,Mobile,iOS,86.0,True,False
ERR-00041,2024-01-29 06:14:52,CUST-0068,Mid-market,Wielka Brytania,Logowanie,Nieprawidłowe dane,High,3.6.9,Mobile,iOS,115.0,True,False
ERR-00042,2024-01-17 12:51:20,CUST-0111,SMB,Niemcy,Użytkownicy,Timeout,High,3.1.9,Desktop,Windows,58.0,True,False
ERR-00043,2024-07-24 01:17:04,CUST-0008,Enterprise,Niemcy,Logowanie,Błąd API,Low,3.4.8,Desktop,Windows,,False,False
ERR-00044,2024-04-18 19:58:36,CUST-0034,Mid-market,Polska,Raporty,Błąd bazy danych,Critical,3.2.4,Desktop,macOS,562.0,True,False
ERR-00045,2024-06-10 09:13:41,CUST-0236,Startup,Wielka Brytania,Integracje,Błąd API,Medium,3.8.1,Tablet,iOS,33.0,True,False
ERR-00046,2024-09-12 14:25:56,CUST-0064,Mid-market,Francja,Integracje,Błąd API,Medium,3.8.4,Desktop,Windows,28.0,True,False
ERR-00047,2024-11-25 10:29:09,CUST-0008,Enterprise,Polska,Raporty,Timeout,High,3.1.5,Mobile,iOS,72.0,True,False
